Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Algeria,39.04,46.24,19.79,24.68,25.08,22.6,25.99,23.43,23.14,23.79,22.07,18.44,20.45,25.5,38.75,33.69,33.05,30.59,25.54,31.15,34.34,34.59,30.92,27.94,25.71,23.58,12.85,14.27,15.51,18.64,23.44,29.12,25.32,21.78,22.53,26.19,29.76,30.91,22.58,26.81,41.18,36.69,35.5,38.25,40.05,47.21,48.81,47.07,47.97,35.37,38.44,38.74,37.2
East Asia & Pacific (developing only),,,,,,,,,,,6.84,6.98,7.45,9.11,10.9,9.61,10.14,10.07,11.36,14.05,16.24,16.99,15.7,14.56,14.99,13.86,14.35,18.63,19.3,19.31,21.3,22.57,23.73,24.55,26.44,26.11,25.95,28.31,31.05,29.69,33.17,31.81,32.96,36.14,40.34,43.11,44.44,43.39,40.5,32.63,35.2,35,33.52
East Asia & Pacific (all income levels),15.41,13.79,13.69,13.49,13.9,14.69,15.46,14.78,15.71,16.32,13.64,14.26,14.25,15.63,17.92,16.9,18.21,18.11,17.57,18.81,21.18,21.93,21.09,20.55,21.42,20.65,19.66,21.06,21.33,20.81,21.06,21.18,21.36,21.26,21.84,22.44,22.5,23.88,25.7,24.56,26.67,25.76,26.46,28.47,31.39,32.95,34.77,35.43,35.79,29.75,32.82,33.39,32.57
Europe & Central Asia (developing only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.64,20.31,20.95,26.33,23.15,27.85,30.03,30.96,32.68,30.94,32.49,36.86,38.74,36.65,35.86,37.32,35.4,37.36,37.31,38.57,35.94,37.74,42.07,36.15
Europe & Central Asia (all income levels),19.45,19.22,18.89,18.74,18.91,19.11,19.32,19.02,20.02,20.92,20.77,20.76,20.76,21.88,24.89,23.19,24.28,24.84,24.55,25.32,25.65,26.99,27.04,27.41,29.23,29.54,26.46,25.98,26.1,27,26.78,26.55,28.54,27.81,28.71,30.21,30.54,32.21,32.49,33.22,36.64,36.45,35.44,34.68,35.88,37.1,39.2,39.51,40.43,36.22,39.63,42.21,42.43
Ecuador,16.85,16.49,17.89,16.25,15.65,8.98,10.49,10.11,11.04,8.5,9.44,10.58,12.41,17.88,22.65,16.07,16.04,16.3,14.73,17.91,17.15,14.62,14.66,15.56,17.38,19.68,15.63,15.37,19.01,20.28,22.76,23.67,24.13,20.04,20.28,22.78,23.24,22.72,19.1,27.25,32.13,23.22,21.49,22.6,24.55,27.62,30.33,31.93,34.16,25.25,28.75,32.18,31.15
"Egypt, Arab Rep.",19.52,17.21,17.16,18.66,18.52,17.54,16.95,14.65,13.19,14.21,14.18,13.79,13.35,13.98,20.51,20.18,22.27,22.48,21.75,29.73,30.51,33.37,27.03,25.48,22.35,19.91,15.73,12.56,17.32,17.89,20.05,27.82,28.4,25.84,22.57,22.55,20.75,18.84,16.21,15.05,16.2,17.48,18.32,21.8,28.23,30.34,29.95,30.25,33.04,24.96,21.35,20.57,17.43
Euro area,18.38,18.11,17.82,17.62,17.99,18.33,18.65,18.33,19.05,20.03,19.79,19.84,20.1,20.93,23.85,22.3,23.21,23.56,23.5,24.5,24.8,26.51,26.55,26.84,28.72,29.02,26.02,25.44,25.95,27.21,27.1,27.15,26.84,26.74,28.14,29.66,30.07,32.41,33.06,33.28,36.97,37.05,36.28,35.23,36.7,38.02,40.26,41.29,41.76,36.7,40.97,43.79,44.75
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.42,30.56,28.02,22.39,29.23,29.61,14.83,9.53,9.67,10.81,11.78,6.44,5.78,6.17,6.9,5.77,4.43,4.53,4.79,14.38,
Spain,8.37,7.97,8.3,7.71,8.81,8.19,8.89,8.55,10.57,11.33,12.45,13.36,13.69,13.67,13.53,12.7,12.9,13.6,14.25,14.07,14.67,16.71,17.43,19.58,21.87,21.42,18.68,18.19,17.76,17.04,16.14,16.18,16.62,18.18,20.85,22.4,23.64,26.31,26.67,26.68,29.05,28.53,27.33,26.32,25.94,25.67,26.29,26.9,26.5,23.94,27.36,30.84,32.65
